libelle_unite;type_materiel;code_unite_terminal_de_saisie
BP de Saint-Paul-Trois-Châteaux;Scanner;02687
BP de Loriol-sur-Drôme;Bloc optique;02667
BTA de Chabeuil;Bloc optique;02664
BTA de Chatuzange le Goubet;Bloc optique;02701
CIC BDRIJ GGD27;Scanner;19483
BP de Brionne;Scanner;00640
BP de Saint-Georges-du-Vièvre;Scanner;00661
BP de Bernay;Bloc optique;00637
BP de Gisors;Bloc optique;00632
BTA de Gaillon;Bloc optique;00648
BP de Verneuil-d'Avre-et-d'Iton;Bloc optique;00625
BTA des Andelys;Bloc optique;00628
BP de Pont-Audemer;Bloc optique;00654
BTA de Conches en Ouche;Bloc optique;00617
CIC BDRIJ GGD28;Scanner;20809
BP de La-Loupe;Scanner;05444
BTA de Nogent-le-Roi;Scanner;05436
BP de Maintenon;Bloc optique;05418
BP de Châteaudun;Bloc optique;05423
BP de Dreux;Bloc optique;05431
BP de Thivars;Bloc optique;05413
BP de Nogent-le-Rotrou;Bloc optique;05441
CIC BDRIJ GGD29;Scanner;19534
BGMAR Brest;Scanner;10658
BP de Châteauneuf-du-Faou;Scanner;00829
BP de Plouzané;Scanner;08333
BP de Plourin-lès-Morlaix;Scanner;00838
BP de Pont-l'Abbé;Bloc optique;00809
BP de Saint-Pol-de-Léon;Bloc optique;00845
BTA  de Landerneau;Bloc optique;00818
BTA  de Quimperlé;Bloc optique;05574
BP de Saint-Renan;Bloc optique;00823
BP de Plabennec;Bloc optique;00821
BP de Rosporden;Bloc optique;05579
BP de Audierne;Bloc optique;00802
CIC SAJ RGCOR;Scanner;20741
BP de Peri;Scanner;04892
BP de Propriano;Scanner;04909
BTA de Porto-Vecchio;Bloc optique;04899
CIC BDRIJ GGD2B;Scanner;20758
BP de Ghisonaccia;Scanner;04943
BP de Calvi;Scanner;04928
BTA de Borgo;Bloc optique;04919
CIC BDRIJ GGD30;Scanner;20690
BP d'Uzès;Scanner;04760
BP de Saint-Ambroix;Scanner;04757
BP de Vauvert;Bloc optique;04737
BTA  de Marguerittes;Bloc optique;04732
BTA de St Gilles ;Bloc optique;04734
CIC BDRIJ GGD31;Scanner;19908
BP de Villefranche-de-Lauragais;Scanner;02118
PMO de Villefranche-de-Lauragais;Scanner;09229
PMO d'Estancarbon;Scanner;11508
BP de Balma;Bloc optique;02068
BP de Castelginest;Bloc optique;32376
BP de Seysses;Bloc optique;14171
BTA  de Muret;Bloc optique;02088
PMO de Toulouse;Bloc optique;11139
BP de Saint-Jory;Bloc optique;02080
BP de l'Union;Bloc optique;02082
BP de Fronton;Bloc optique;02074
BP de Cugnaux;Bloc optique;09841
BP de Grenade;Bloc optique;02075
BP de Saint-Lys;Bloc optique;02099
BTA de Portet-sur-Garonne;Bloc optique;02078
BP de Carbonne;Bloc optique;02092
BTA de Saint-Orens-de-Gameville;Bloc optique;08389
BP de Castanet-Tolosan;Bloc optique;02071
BP de Auterive;Bloc optique;02090
