libelle_unite;type_materiel;code_unite_terminal_de_saisie
BP de Raon-l'étape;Scanner;03436
BTA de Neufchâteau;Bloc optique;03407
CIC BDRIJ GGD89;Scanner;20469
BP de Tonnerre;Scanner;04000
BP d'Avallon;Bloc optique;03971
BP de Sens;Bloc optique;03988
BTA  de Joigny;Bloc optique;03978
BTA de Migennes;Bloc optique;03983
BP de Toucy;Bloc optique;03967
BP de Pont-sur-Yonne;Bloc optique;03991
BP de Villeneuve-sur-Yonne;Bloc optique;03997
BP de St Florentin;Bloc optique;03964
CIC BDRIJ GGD90;Scanner;20537
PMO de Belfort;Scanner;08681
CIC BDRIJ GGD91;Scanner;20894
BTA de Palaiseau;Scanner;05181
BP de Bondoufle;Bloc optique;18995
BP de Saint-Pierre-du-Perray;Bloc optique;09212
BTA  de Mennecy;Bloc optique;05164
BTA de Dourdan;Bloc optique;05173
CIC BIRIJ RGIF;Scanner;28380
CICN aéronautique DIA SRTA Paris-Charles-de-Gaulle;Scanner;58279
CIC BDRIJ GGD95;Scanner;20911
BP d'écouen;Scanner;05229
BTA  de l'Isle-Adam;Scanner;58578
BTA de Méry-sur-Oise;Bloc optique;13555
BTA  de Persan;Bloc optique;58577
BTA Fosses;Bloc optique;07826
BTA de Domont;Bloc optique;05227
BTA de Louvres;Bloc optique;05234
Pôle Judiciaire GGD95;Bloc optique;17144
CIC BDRIJ COMGENDGP;Scanner;30247
BTA de Pointe-Noire;Scanner;06783
BTA de Bouillante;Scanner;06782
BTA  de Baie-Mahault;Bloc optique;07966
BTA de Capesterre-Belle-Eau;Bloc optique;06787
BTA de Saint-Claude;Bloc optique;06780
BTA du Moule;Bloc optique;06804
BTA de Morne-à-l'Eau;Bloc optique;06810
BTA de Port-Louis;Bloc optique;06807
BTA de Sainte-Anne;Bloc optique;06809
BTA de Saint-François;Bloc optique;06808
BTA de Lamentin;Bloc optique;06799
BTA de Petit-Bourg;Bloc optique;06800
BTA de Sainte-Rose;Bloc optique;06801
BP de Gourbeyre;Bloc optique;06785
CIC BDRIJ COMGENDMQ;Scanner;30207
BP de Ducos;Scanner;06750
BP de Rivière-Salée;Bloc optique;06755
BTA de Saint-Joseph;Bloc optique;06740
BP de Schoelcher;Bloc optique;06739
BP de Saint-Pierre;Bloc optique;06743
BP du Marin;Bloc optique;06754
BP du François;Bloc optique;06749
BTA de La-Trinité;Bloc optique;06761
BTA de Sainte-Marie;Bloc optique;06764
BP du Lorrain;Bloc optique;06765
BP du Robert;Bloc optique;06762
CIC BDRIJ COMGENDGF;Scanner;30234
BTA  de Kourou;Bloc optique;06823
BTA  de Matoury;Bloc optique;12963
BTA  de Saint-Laurent-du-Maroni;Bloc optique;06832
BTA de Remire-Montjoly;Bloc optique;09941
BTA de Macouria;Bloc optique;06822
CIC BDRIJ COMGENDRE;Scanner;30276
BTA de Cilaos;Scanner;06880
BP de Saint-Benoît;Bloc optique;06858
BP du Tampon;Bloc optique;12827
BTA  de Saint-Louis;Bloc optique;27775
BTA de Sainte-Marie;Bloc optique;06853
BMO de La-Rivière-Saint-Louis;Bloc optique;06876
BTA de Bras-Panon;Bloc optique;06860
BTA de Sainte-Suzanne;Bloc optique;06854
BP de Plateau-Caillou;Bloc optique;13572
BP de Saint-Paul;Bloc optique;06866
BP de Saint-Leu;Bloc optique;10070
BTA de La-Possession;Bloc optique;06852
BTA de Saint-Gilles;Bloc optique;06868
BTA de La-Plaine-des-Cafres;Bloc optique;06882
BP de l'Étang-Salé;Bloc optique;17849
BP de Saint-Joseph;Bloc optique;06883
BTA de Saint-Pierre;Scanner;07026
CIC BDRIJ COMGENDYT;Scanner;30301
BTA de Dembeni;Scanner;06893
BTA  de Pamandzi;Bloc optique;06894
BTA de M'Zouazia;Bloc optique;08664
BTA de Koungou;Bloc optique;75877
BTA de Mtsamboro;Bloc optique;08663
BTA de Sada;Bloc optique;07894
BTA de Dembeni;Bloc optique;06893
BTA de Saint-Barthélemy;Bloc optique;06790
CIC saint-martin BDRIJ COMGEND SAINT MARTIN;Scanner;67254
BTA  de Saint-Martin-Marigot;Bloc optique;06791
BTA de Saint-Martin-Esperance;Bloc optique;10426
CIC BRIJ COMGENDPF;Scanner;29401
BTA de Moorea-Maiao ;Scanner;06971
BTA de Huahine;Scanner;06973
BTA  de Faaa;Bloc optique;09150
BTA  de Arue;Bloc optique;07466
BTA de Papara;Bloc optique;13999
BTA de Taravao;Bloc optique;06970
BTA de Paea;Bloc optique;06968
BTA de Bora-Bora;Bloc optique;06974
BTA de Punaauia;Bloc optique;10673
CIC BRIJ COMGENDNC;Scanner;30222
BP de Koumac;Scanner;06932
BTA de Poindimié;Scanner;06940
BTA  de Dumbéa;Bloc optique;10409
BTA  de Païta;Bloc optique;06920
BTA Saint Michel;Bloc optique;06923
BTA de Bourail;Bloc optique;06930
BTA de Koné;Bloc optique;06929
BTA de Plum;Bloc optique;06922
BTA de La Foa;Bloc optique;06914
